Sarah|100000.0|2026-06-07|12:22:10.523000700|june salary
FOOD|10000.0|2026-06-07|13:28:16.473028300|
Sarah|100000.0|2026-06-07|16:07:44.224035300|june salary
Sarah|100000.0|2026-06-07|16:08:35.008729200|june month
Saras|20000.0|2026-06-07|16:09:30.682484100|june month
Saraswathi|200000.0|2026-06-07|17:24:51.075951400|June month salary
Sarah|9.090909E7|2026-06-07|18:28:49.819657|jnm
Saraswathi|10000.0|2026-06-08|15:44:57.130400800|june salary
fcd|9.090909E7|2026-06-08|15:49:40.482760|fncmx
Saraswathi|780000.0|2026-06-08|15:51:23.467193800|gbn
Saras|6000.0|2026-06-08|15:52:17.666652900|ghn
Saras|8.9899E7|2026-06-08|15:53:45.235283|jdnsmx
